epoch,train_loss,train_loss_cls,train_loss_cls_source,train_loss_cls_target,train_loss_tal,train_loss_dual_g,train_loss_dual_d,train_grad_norm_main,train_grad_norm_discriminator,train_grad_clip_fraction_main,train_grad_clip_fraction_discriminator,train_discriminator_steps,train_adversarial_scale,train_module_c_scale,train_acc,train_acc_source,train_acc_target,train_acc_source_like,train_acc_target_like,train_dual_d_discriminator_total,train_dual_d_discriminator_primary,train_dual_d_discriminator_auxiliary,train_dual_d_generator_total,train_dual_d_adv_primary,train_dual_d_adv_auxiliary,train_dual_d_cycle,train_dual_d_identity,train_dual_d_contrastive,train_dual_d_prototype_contrastive,train_dual_d_classification_feedback,train_dual_d_weighted_cycle,train_dual_d_weighted_identity,train_dual_d_weighted_contrastive,train_dual_d_weighted_prototype_contrastive,train_dual_d_weighted_classification_feedback,val_loss,val_acc,val_precision_macro_present,val_recall_macro_present,val_f1_macro_present,val_precision_micro,val_recall_micro,val_f1_micro,val_raw_loss,val_raw_acc,val_raw_f1_macro_present,train_full_acc,train_full_f1_macro_present,train_sampled_minus_full_acc,monitor_value,monitor_selection_score,monitor_stability_window,checkpoint_selection_eligible,checkpoint_selection_min_epoch,lr_scheduler_active,lr_main,lr_discriminator,lr_discriminator_to_main_ratio,cuda_peak_allocated_gb,cuda_peak_reserved_gb,train_seconds,val_seconds,raw_eval_seconds,train_eval_seconds,epoch_seconds
1,5.85319905810886,5.832455529106988,3.4554812643263073,3.3956776195102267,0.06914525065157148,0.0,0.0,30.124278598361546,0.0,1.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.10416666666666667,0.05555555555555555,0.14583333333333334,0.09027777777777778,0.0,0.0,0.0,0.0,0.9043531815210978,0.7071711255444421,0.3561522463957469,0.2683620750904083,1.96527808242374,2.1994607183668347,7.10956350962321,0.0,0.0,0.0,0.0,0.0,2.4643664360046387,0.24324324324324326,0.06666666666666668,0.14814814814814817,0.08522500995619275,0.24324324324324326,0.24324324324324326,0.24324324324324326,2.408496379852295,0.24324324324324326,0.07936507936507937,0.11363636363636363,0.041065627030539315,0.03219696969696971,0.08522500995619275,-inf,5,False,45,False,5e-05,2e-05,0.4,4.087515830993652,5.126953125,1.4413394927978516,0.40681982040405273,0.4306950569152832,0.4791257381439209,2.7582814693450928
2,5.080599784851074,5.088084697723389,3.047803137037489,2.914687898423937,-0.024949414034684498,0.0,0.0,27.200315475463867,0.0,1.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.08333333333333333,0.1388888888888889,0.13194444444444445,0.125,0.0,0.0,0.0,0.0,0.959935704867045,0.6863255103429159,0.3586604727639092,0.26921306053797406,1.9344523350397747,2.2006726529863148,5.97582663430108,0.0,0.0,0.0,0.0,0.0,2.257564981778463,0.21621621621621623,0.16284300494826812,0.14814814814814814,0.12455026455026455,0.21621621621621623,0.21621621621621623,0.21621621621621623,,,,,,,0.12455026455026455,-inf,5,False,45,False,5e-05,2e-05,0.4,4.086325645446777,5.126953125,1.0740511417388916,0.43164920806884766,0.0,0.0,1.5059449672698975
3,4.736008538140191,4.719263076782227,2.818795230653551,2.7149540053473578,0.055817950103018016,0.0,0.0,25.83587434556749,0.0,1.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.2152777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.8302035993999906,0.6570307413736979,0.359204543961419,0.2685023612446255,1.8525891304016113,2.1738111707899304,5.505229738023546,0.0,0.0,0.0,0.0,0.0,2.061647812525431,0.40540540540540543,0.29649122807017547,0.4861111111111111,0.32427983539094646,0.40540540540540543,0.40540540540540543,0.40540540540540543,,,,,,,0.32427983539094646,-inf,5,False,45,False,5e-05,2e-05,0.4,4.088278770446777,5.126953125,1.2506558895111084,0.43257617950439453,0.0,0.0,1.6834447383880615
4,4.533747831980388,4.516443729400635,2.645832988950941,2.67230126592848,0.05768015649583605,0.0,0.0,24.12677658928765,0.0,1.0,0.0,0.0,0.0,0.0,0.2569444444444444,0.18055555555555555,0.2569444444444444,0.22916666666666666,0.1875,0.0,0.0,0.0,0.0,0.9274662733078003,0.7683629592259725,0.3604361547364129,0.2695593635241191,1.882863336139255,2.128089533911811,5.159192615085178,0.0,0.0,0.0,0.0,0.0,1.9279631773630779,0.4864864864864865,0.5030864197530864,0.5555555555555556,0.45329670329670335,0.4864864864864865,0.4864864864864865,0.4864864864864865,,,,,,,0.45329670329670335,-inf,5,False,45,False,5e-05,2e-05,0.4,4.088217735290527,5.126953125,1.094383955001831,0.42246198654174805,0.0,0.0,1.5171151161193848
5,4.502623399098714,4.457637521955702,2.741116099887424,2.452173431714376,0.1499529584414429,0.0,0.0,23.218897289699978,0.0,1.0,0.0,0.0,0.0,0.0,0.2986111111111111,0.2152777777777778,0.2986111111111111,0.3055555555555556,0.19444444444444445,0.0,0.0,0.0,0.0,0.9529165493117439,0.7053138415018717,0.3595745431052314,0.2689620984925164,1.712071590953403,2.1099286874135337,5.0571273697747126,0.0,0.0,0.0,0.0,0.0,1.8193886280059814,0.4864864864864865,0.4404040404040404,0.5462962962962963,0.42407407407407405,0.4864864864864865,0.4864864864864865,0.4864864864864865,1.822426160176595,0.4864864864864865,0.43167305236270753,0.5075757575757576,0.4073372266920654,-0.202020202020202,0.42407407407407405,0.08522500995619275,5,False,45,False,5e-05,2e-05,0.4,4.089285850524902,5.126953125,1.1306324005126953,0.41960930824279785,0.4270610809326172,0.4677615165710449,2.4453377723693848
6,4.168702522913615,4.086882670720418,2.438679297765096,2.354576349258423,0.27273301117950016,0.0,0.0,22.51506021287706,0.0,1.0,0.0,0.0,0.0,0.0,0.3194444444444444,0.2986111111111111,0.3194444444444444,0.2916666666666667,0.22916666666666666,0.0,0.0,0.0,0.0,0.8406561944219801,0.649185491932763,0.3590325216452281,0.26876379715071785,1.8026828368504841,2.0824601385328503,4.808617485894097,0.0,0.0,0.0,0.0,0.0,1.6781094074249268,0.5135135135135135,0.4412280701754385,0.5740740740740741,0.4720485276040832,0.5135135135135135,0.5135135135135135,0.5135135135135135,,,,,,,0.4720485276040832,0.12455026455026455,5,False,45,False,5e-05,2e-05,0.4,4.087821006774902,5.126953125,1.1171424388885498,0.4272432327270508,0.0,0.0,1.5446112155914307
7,3.93172820409139,3.8677114380730524,2.2903262111875744,2.2534074783325195,0.21338901668787003,0.0,0.0,21.238411373562283,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3263888888888889,0.3333333333333333,0.4236111111111111,0.2708333333333333,0.0,0.0,0.0,0.0,0.9271377523740133,0.7035273379749722,0.35924381679958767,0.26874527004030013,1.8504282103644476,2.056582397884793,4.838671843210856,0.0,0.0,0.0,0.0,0.0,1.504853328069051,0.7027027027027027,0.653030303030303,0.75,0.670847995409399,0.7027027027027027,0.7027027027027027,0.7027027027027027,,,,,,,0.670847995409399,0.32427983539094646,5,False,45,False,5e-05,2e-05,0.4,4.088278770446777,5.126953125,1.1037957668304443,0.40496373176574707,0.0,0.0,1.508965015411377
8,3.8911259969075522,3.8498859140608044,2.318909936481052,2.1871085431840687,0.13746671378612518,0.0,0.0,21.852472729153103,0.0,1.0,0.0,0.0,0.0,0.0,0.3541666666666667,0.2916666666666667,0.3541666666666667,0.3333333333333333,0.3402777777777778,0.0,0.0,0.0,0.0,0.8724407156308492,0.7184045215447744,0.3619876338375939,0.26853152447276646,1.734187814924452,2.0462228059768677,4.543325106302897,0.0,0.0,0.0,0.0,0.0,1.4723542928695679,0.7837837837837838,0.8071428571428572,0.8194444444444445,0.8022570022570022,0.7837837837837838,0.7837837837837838,0.7837837837837838,,,,,,,0.8022570022570022,0.42407407407407405,5,False,45,False,5e-05,2e-05,0.4,4.08814811706543,5.126953125,1.2120869159698486,0.4298834800720215,0.0,0.0,1.6422364711761475
9,3.503735966152615,3.4632176293267145,2.0426792833540173,2.029340558581882,0.13506105252438122,0.0,0.0,20.672810236612957,0.0,1.0,0.0,0.0,0.0,0.05555555555555555,0.4166666666666667,0.4097222222222222,0.4166666666666667,0.3333333333333333,0.3263888888888889,0.0,0.0,0.0,0.0,0.9082963267962137,0.6734520395596822,0.36003504196802777,0.26815268728468156,1.7123157978057861,1.996372554037306,4.152508073382908,0.0,0.0,0.0,0.0,0.0,1.4417462348937988,0.7297297297297297,0.646031746031746,0.763888888888889,0.6714489214489214,0.7297297297297297,0.7297297297297297,0.7297297297297297,,,,,,,0.6714489214489214,0.42407407407407405,5,False,45,False,5e-05,2e-05,0.4,4.085410118103027,5.126953125,1.0665793418884277,0.42139244079589844,0.0,0.0,1.4882292747497559
10,3.4149853653377957,3.3896943728129068,2.0150533517201743,1.9637729194429185,0.08430314881520139,0.0,0.0,20.210106955634224,0.0,1.0,0.0,0.0,0.0,0.1111111111111111,0.4722222222222222,0.4513888888888889,0.4722222222222222,0.4375,0.375,0.0,0.0,0.0,0.0,0.8511364526218839,0.7510218289163377,0.3605387939347161,0.2678070929315355,1.7503439452913072,1.9981290102005005,4.220323297712538,0.0,0.0,0.0,0.0,0.0,1.4320263862609863,0.7567567567567568,0.7444444444444445,0.7962962962962963,0.7507936507936507,0.7567567567567568,0.7567567567567568,0.7567567567567567,1.408459464708964,0.7297297297297297,0.7238095238095238,0.7727272727272727,0.7787060246974429,-0.3352272727272727,0.7507936507936507,0.4720485276040832,5,False,45,False,5e-05,2e-05,0.4,4.085410118103027,5.126953125,1.0541319847106934,0.4217402935028076,0.43056297302246094,0.4819209575653076,2.388629913330078
